Approach,DAN,DANN,JAN,CDAN,MDD,MCC,SHOT,ISFDA,Ours
Accuracy,69.62,69.466,69.240,70.019,69.607,70.541,70.750,68.754,73.41
Precision,71.475,70.923,71.138,71.196,71.786,72.497,71.972,70.567,75.64
Recall,65.323,65.759,64.917,67.317,64.344,66.501,67.290,64.298,69.38
F1-score,68.124,68.121,67.807,69.065,67.702,69.253,69.434,66.983,72.18
